interval,time,set,stroke,kg
103,394505,1,50,-0.02
103,394608,1,50,-0.02
103,394712,1,50,-0.02
103,394815,1,50,-0.02
103,394919,1,50,-0.02
103,395022,1,50,-0.02
103,395125,1,50,-0.02
103,395229,1,50,-0.02
103,395332,1,50,-0.02
103,395436,1,50,0.04
103,395539,1,50,0.4
103,395643,1,50,1.6
103,395746,1,50,3.05
103,395850,1,50,3.94
103,395953,1,50,4.27
103,396056,1,50,3.02
103,396160,1,50,1.37
103,396263,1,50,0.2
103,396367,1,50,-0.02
103,396470,1,50,-0.01
103,396574,1,50,-0.01
103,396677,1,50,-0.01
103,396780,1,50,-0.01
103,396884,1,50,-0.01
103,396987,1,50,-0.01
103,397091,1,50,-0.01
103,397194,1,50,-0.01
103,397298,1,50,-0.01
103,397401,1,50,-0.01
103,397504,1,50,-0.01
103,397608,1,50,-0.01
103,397711,1,50,-0.01
